"Time","BidPrice","BidSize","AskPrice","AskSize"
"2014-03-17 09:20:00.083",77.4,5200,77.45,36800
"2014-03-17 09:30:00.257",77.4,6800,NA,NA
"2014-03-17 09:30:00.347",77.4,13600,NA,NA
"2014-03-17 09:30:00.995",NA,NA,77.45,35600
"2014-03-17 09:30:01.164",NA,NA,77.45,30000
"2014-03-17 09:30:01.193",NA,NA,77.45,29600
"2014-03-17 09:30:01.255",NA,NA,77.45,32800
"2014-03-17 09:30:01.312",77.4,15200,NA,NA
"2014-03-17 09:30:01.407",NA,NA,77.45,34000
"2014-03-17 09:30:01.937",NA,NA,77.45,41600
"2014-03-17 09:30:02.150",NA,NA,77.45,41200
"2014-03-17 09:30:02.187",77.4,14800,NA,NA
"2014-03-17 09:30:02.232",77.4,16400,NA,NA
"2014-03-17 09:30:02.233",77.4,18400,NA,NA
"2014-03-17 09:30:02.266",77.4,14400,NA,NA
"2014-03-17 09:30:02.288",NA,NA,77.45,43600
"2014-03-17 09:30:02.320",NA,NA,77.45,43200
"2014-03-17 09:30:02.425",77.4,14000,NA,NA
"2014-03-17 09:30:02.618",NA,NA,77.45,44800
"2014-03-17 09:30:02.700",77.4,13600,NA,NA
"2014-03-17 09:30:02.880",NA,NA,77.45,44400
"2014-03-17 09:30:03.021",NA,NA,77.45,43600
"2014-03-17 09:30:03.088",77.4,14000,NA,NA
"2014-03-17 09:30:03.226",NA,NA,77.45,43200
"2014-03-17 09:30:03.289",77.4,13600,NA,NA
"2014-03-17 09:30:03.401",NA,NA,77.45,41200
"2014-03-17 09:30:03.499",NA,NA,77.45,40000
"2014-03-17 09:30:03.632",NA,NA,77.45,50800
"2014-03-17 09:30:03.918",NA,NA,77.45,50400
"2014-03-17 09:30:04.200",NA,NA,77.45,49600
"2014-03-17 09:30:04.284",77.4,12800,NA,NA
"2014-03-17 09:30:04.295",77.4,13600,NA,NA
"2014-03-17 09:30:04.425",NA,NA,77.45,49200
"2014-03-17 09:30:04.444",77.4,13200,NA,NA
"2014-03-17 09:30:04.560",NA,NA,77.45,50400
"2014-03-17 09:30:04.611",77.4,12800,NA,NA
"2014-03-17 09:30:04.669",NA,NA,77.45,50000
"2014-03-17 09:30:04.784",NA,NA,77.45,48000
"2014-03-17 09:30:05.179",NA,NA,77.45,46800
"2014-03-17 09:30:05.210",77.4,13600,NA,NA
"2014-03-17 09:30:06.195",NA,NA,77.45,45200
"2014-03-17 09:30:06.196",NA,NA,77.45,44000
"2014-03-17 09:30:06.286",77.4,14400,NA,NA
"2014-03-17 09:30:06.855",NA,NA,77.45,28000
"2014-03-17 09:30:07.088",77.4,12800,NA,NA
"2014-03-17 09:30:07.234",77.4,12400,NA,NA
"2014-03-17 09:30:07.435",NA,NA,77.45,27600
"2014-03-17 09:30:07.590",NA,NA,77.45,24000
"2014-03-17 09:30:07.717",NA,NA,77.45,22000
"2014-03-17 09:30:08.053",NA,NA,77.45,21200
"2014-03-17 09:30:08.209",NA,NA,77.45,20400
"2014-03-17 09:30:08.268",NA,NA,77.45,20000
"2014-03-17 09:30:08.496",NA,NA,77.45,19600
"2014-03-17 09:30:09.174",NA,NA,77.45,18800
"2014-03-17 09:30:10.121",NA,NA,77.45,18400
"2014-03-17 09:30:10.311",77.4,12800,NA,NA
"2014-03-17 09:30:10.381",NA,NA,77.45,17600
"2014-03-17 09:30:10.811",NA,NA,77.45,16800
"2014-03-17 09:30:10.846",NA,NA,77.45,15600
"2014-03-17 09:30:11.178",NA,NA,77.45,16000
"2014-03-17 09:30:11.264",NA,NA,77.45,15200
"2014-03-17 09:30:11.552",NA,NA,77.45,14800
"2014-03-17 09:30:12.300",77.4,12400,NA,NA
"2014-03-17 09:30:12.304",NA,NA,77.45,14400
"2014-03-17 09:30:13.225",NA,NA,77.45,13200
"2014-03-17 09:30:13.305",NA,NA,77.45,12400
"2014-03-17 09:30:13.354",NA,NA,77.45,12000
"2014-03-17 09:30:13.464",NA,NA,77.45,11600
"2014-03-17 09:30:13.528",NA,NA,77.45,11200
"2014-03-17 09:30:13.577",77.4,13200,NA,NA
"2014-03-17 09:30:13.829",NA,NA,77.45,10800
"2014-03-17 09:30:13.911",NA,NA,77.45,11200
"2014-03-17 09:30:13.936",NA,NA,77.45,12400
"2014-03-17 09:30:14.200",NA,NA,77.45,12000
"2014-03-17 09:30:14.242",NA,NA,77.45,11200
"2014-03-17 09:30:14.299",NA,NA,77.45,10800
"2014-03-17 09:30:14.429",NA,NA,77.45,10000
"2014-03-17 09:30:14.550",77.4,13600,NA,NA
"2014-03-17 09:30:14.679",NA,NA,77.45,9600
"2014-03-17 09:30:15.305",NA,NA,77.45,8800
"2014-03-17 09:30:15.371",NA,NA,77.45,8400
"2014-03-17 09:30:15.371",77.4,13200,NA,NA
"2014-03-17 09:30:15.467",NA,NA,77.45,8000
"2014-03-17 09:30:15.647",NA,NA,77.45,7200
"2014-03-17 09:30:16.049",NA,NA,77.5,38000
"2014-03-17 09:30:16.140",NA,NA,77.5,36000
"2014-03-17 09:30:16.143",NA,NA,77.5,35600
"2014-03-17 09:30:16.235",NA,NA,77.5,35200
"2014-03-17 09:30:16.443",NA,NA,77.5,33200
"2014-03-17 09:30:16.486",NA,NA,77.5,32800
"2014-03-17 09:30:16.564",NA,NA,77.5,32400
"2014-03-17 09:30:16.678",77.4,14000,NA,NA
"2014-03-17 09:30:16.851",77.4,14800,NA,NA
"2014-03-17 09:30:17.251",NA,NA,77.5,31200
"2014-03-17 09:30:17.547",NA,NA,77.5,29200
"2014-03-17 09:30:17.817",77.4,15200,NA,NA
"2014-03-17 09:30:17.880",NA,NA,77.5,28800
"2014-03-17 09:30:18.367",NA,NA,77.5,22800
"2014-03-17 09:30:18.527",NA,NA,77.5,22000
"2014-03-17 09:30:18.534",77.4,17200,NA,NA
"2014-03-17 09:30:18.592",77.45,400,NA,NA
"2014-03-17 09:30:18.661",77.4,17200,NA,NA
"2014-03-17 09:30:18.664",NA,NA,77.5,21600
"2014-03-17 09:30:19.097",77.4,23200,NA,NA
"2014-03-17 09:30:19.258",NA,NA,77.5,21200
"2014-03-17 09:30:19.346",NA,NA,77.5,20400
"2014-03-17 09:30:19.397",NA,NA,77.5,16400
"2014-03-17 09:30:19.883",NA,NA,77.5,16000
"2014-03-17 09:30:19.893",77.4,23600,NA,NA
"2014-03-17 09:30:20.218",NA,NA,77.5,12000
